0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:06:07 -0500] "GET /CreationContenido/Revisar?cveMat=SOLICITUDTEST HTTP/1.1" 200 9175
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:08:23 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:08:26 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18342
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:08:28 -0500] "GET /CreationContenido/Revisar?cveMat=SOLICITUDTEST HTTP/1.1" 200 9175
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:08:30 -0500] "POST /CreationContenido/Revisar HTTP/1.1" 200 9194
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:08:32 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:08:35 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18341
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:08:37 -0500] "GET /CreationContenido/Solicitar?cveMat=SOLICITUDTEST HTTP/1.1" 200 8523
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/Solicitar?cveMat=SOLICITUDTEST HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:21 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:22 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:22 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:26 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:26 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:26 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [13/Jul/2017:10:44:26 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
